turn,droped_cards_p1,droped_cards_p2,p1_point,p2_point,select_card,action,hand
1,[1],[5],0,0,[],0,"[8, 5, 1, 8, 6, 6, 1, 6]"
1,"[1, 1]","[5, 9]",0,0,[],0,"[8, 9, 1, 8, 6, 6, 1, 6]"
1,"[1, 1, 8]","[5, 9, 13]",0,0,[],0,"[8, 13, 1, 8, 6, 6, 1, 6]"
1,"[1, 1, 8, 6]","[5, 9, 13, 1]",0,0,[],0,"[8, 1, 1, 8, 6, 6, 1, 6]"
1,"[1, 1, 8, 6, 1]","[5, 9, 13, 1, 1]",0,0,[],0,"[8, 1, 1, 8, 6, 6, 1, 6]"
1,"[1, 1, 8, 6, 1, 20]","[5, 9, 13, 1, 1, 10]",0,0,[],0,"[8, 10, 1, 8, 6, 6, 1, 6]"
1,"[1, 1, 8, 6, 1, 20, 6]","[5, 9, 13, 1, 1, 10]",0,0,"[1, 1, 6, 8, 8, 8]",1,"[8, 8, 1, 8, 6, 6, 1, 6]"
1,[1],[5],0,0,[],0,"[8, 5, 1, 8, 6, 6, 1, 6]"
1,"[1, 1]","[5, 9]",0,0,[],0,"[8, 9, 1, 8, 6, 6, 1, 6]"
1,"[1, 1, 8]","[5, 9, 13]",0,0,[],0,"[8, 13, 1, 8, 6, 6, 1, 6]"
1,"[1, 1, 8, 6]","[5, 9, 13, 1]",0,0,[],0,"[8, 1, 1, 8, 6, 6, 1, 6]"
1,"[1, 1, 8, 6, 1]","[5, 9, 13, 1, 1]",0,0,[],0,"[8, 1, 1, 8, 6, 6, 1, 6]"
1,"[1, 1, 8, 6, 1, 20]","[5, 9, 13, 1, 1, 10]",0,0,[],0,"[8, 10, 1, 8, 6, 6, 1, 6]"
1,"[1, 1, 8, 6, 1, 20, 6]","[5, 9, 13, 1, 1, 10]",0,0,"[1, 1, 6, 8, 8, 8]",1,"[8, 8, 1, 8, 6, 6, 1, 6]"
2,[],[],5,35,"[19, 8, 1]",1,"[19, 8, 1, 1, 1, 1, 14, 1]"
1,[6],[],0,0,"[1, 1]",1,"[1, 1, 1, 6, 1, 1, 1, 7]"
1,[],[6],0,0,[],0,"[29, 1, 1, 13, 15, 6, 1, 30]"
1,[20],"[6, 13]",0,0,[],0,"[29, 1, 1, 13, 15, 6, 1, 30]"
1,"[20, 30]","[6, 13, 29]",0,0,[],0,"[29, 1, 1, 8, 15, 6, 1, 30]"
1,"[20, 30, 14]","[6, 13, 29, 30]",0,0,[],0,"[1, 1, 1, 8, 15, 6, 1, 30]"
1,"[20, 30, 14, 17]","[6, 13, 29, 30, 16]",0,0,[],0,"[1, 1, 1, 8, 15, 6, 1, 16]"
1,"[20, 30, 14, 17, 8]","[6, 13, 29, 30, 16, 6]",0,0,[],0,"[1, 1, 1, 8, 15, 6, 1, 3]"
1,"[20, 30, 14, 17, 8, 17]","[6, 13, 29, 30, 16, 6, 3]",0,0,[],0,"[1, 1, 1, 8, 15, 1, 1, 3]"
1,"[20, 30, 14, 17, 8, 17, 8]","[6, 13, 29, 30, 16, 6, 3, 1]",0,0,[],0,"[1, 1, 1, 8, 15, 1, 1, 15]"
1,"[20, 30, 14, 17, 8, 17, 8, 1]","[6, 13, 29, 30, 16, 6, 3, 1, 15]",0,0,[],0,"[1, 1, 1, 8, 15, 1, 1, 15]"
1,"[20, 30, 14, 17, 8, 17, 8, 1, 19]","[6, 13, 29, 30, 16, 6, 3, 1, 15, 1]",0,0,[],0,"[1, 1, 1, 8, 15, 1, 1, 6]"
1,"[20, 30, 14, 17, 8, 17, 8, 1, 19, 6]","[6, 13, 29, 30, 16, 6, 3, 1, 15, 1, 6]",0,0,[],0,"[1, 1, 1, 8, 15, 1, 1, 6]"
1,"[20, 30, 14, 17, 8, 17, 8, 1, 19, 6, 6]","[6, 13, 29, 30, 16, 6, 3, 1, 15, 1, 6, 6]",0,0,[],0,"[1, 1, 1, 8, 15, 1, 1, 6]"
1,"[20, 30, 14, 17, 8, 17, 8, 1, 19, 6, 6, 1]","[6, 13, 29, 30, 16, 6, 3, 1, 15, 1, 6, 6, 26]",0,0,[],0,"[1, 1, 1, 8, 15, 1, 1, 26]"
1,"[20, 30, 14, 17, 8, 17, 8, 1, 19, 6, 6, 1, 1]","[6, 13, 29, 30, 16, 6, 3, 1, 15, 1, 6, 6, 26, 4]",0,0,[],0,"[1, 1, 1, 8, 15, 1, 1, 4]"
